Medium,AC/NON,Tile yes/no,plant no,plant height,plant weight,no of leaves,no of roots,root length
NM,AC,No,16,0.4,0.009,1,4,1.8
NM,AC,No,17,1,0.003,2,5,1.5
NM,AC,No,18,1,0.003,3,2,0.3
NM,AC,No,19,0.7,0.014,3,4,1.5
NM,AC,No,20,0.7,0.014,3,4,1.5
NM,AC,No,1,1.4,0.049,3,4,1.5
NM,AC,No,2,1.3,0.027,4,4,2.1
NM,AC,No,3,1,0.026,4,5,1.6
NM,AC,No,4,0.6,0.019,3,6,1.5
NM,AC,No,5,0.6,0.01,4,4,1.4
NM,AC,No,6,0.8,0.012,4,2,1.2
NM,AC,No,7,0.5,0.009,3,4,1.6
NM,AC,No,8,1.1,0.019,4,3,0.9
NM,AC,No,9,0.8,0.008,2,3,0.8
NM,AC,No,10,0.7,0.008,4,4,1.3
NM,AC,No,11,0.7,0.003,4,3,0.6
NM,AC,No,12,0.5,0.003,2,2,1.5
NM,AC,No,13,1,0.012,2,2,0.7
NM,AC,No,14,0.3,0.002,1,0,0
NM,AC,No,15,0.8,0.014,3,3,1.2
NM,AC,No,16,0.8,0.014,3,3,1.2
NM,AC,No,17,0.8,0.014,3,3,1.2
NM,AC,No,18,0.8,0.014,3,3,1.2
NM,AC,No,19,0.8,0.014,3,3,1.2
NM,AC,No,20,0.8,0.014,3,3,1.2
NM,AC,Yes,1,4.8,0.232,3,8,5.5
NM,AC,Yes,2,4.1,0.189,4,8,4.8
NM,AC,Yes,3,3.8,0.127,4,8,2.8
NM,AC,Yes,4,2.9,0.11,3,4,3
NM,AC,Yes,5,4.4,0.167,3,4,6.2
NM,AC,Yes,6,3.7,0.108,4,6,4.1
NM,AC,Yes,7,3,0.086,4,5,6.5
NM,AC,Yes,8,5,0.22,4,4,4
NM,AC,Yes,9,3,0.092,2,5,6.5
NM,AC,Yes,10,3.5,0.123,4,6,5.4
NM,AC,Yes,11,3.1,0.097,5,5,5.1
NM,AC,Yes,12,3.5,0.146,2,6,1
NM,AC,Yes,13,2.5,0.208,4,7,6
NM,AC,Yes,14,2.5,0.062,5,5,3.8
NM,AC,Yes,15,2.8,0.086,2,6,5.4
NM,AC,Yes,16,3,0.059,4,6,4
NM,AC,Yes,17,2.8,0.073,4,5,4.5
NM,AC,Yes,18,2.2,0.027,3,3,2.1
NM,AC,Yes,19,2.2,0.024,2,3,2.2
NM,AC,Yes,20,1.8,0.013,4,2,2.2
NM,AC,Yes,1,5.7,0.27,5,10,5.4
NM,AC,Yes,2,3.6,0.161,4,6,5.3
NM,AC,Yes,3,4,0.11,5,6,3.5
NM,AC,Yes,4,3.1,0.116,4,4,4.6
NM,AC,Yes,5,4.2,0.114,4,7,3.7
NM,AC,Yes,6,3.5,0.065,3,6,2.6
NM,AC,Yes,7,2.6,0.042,3,5,1.1
NM,AC,Yes,8,2.4,0.056,3,6,4.3
NM,AC,Yes,9,2.6,0.049,3,6,2.1
NM,AC,Yes,10,2,0.028,5,4,2.3
NM,AC,Yes,11,4.1,0.149,3,5,4.2
NM,AC,Yes,12,5,0.213,5,7,5.2
NM,AC,Yes,13,3,0.094,4,3,7.1
NM,AC,Yes,14,3,0.063,3,4,3.7
NM,AC,Yes,15,2,0.038,3,4,3.1
NM,AC,Yes,16,3.8,0.125,4,6,3.3
NM,AC,Yes,17,4.1,0.104,6,6,4.5
NM,AC,Yes,18,2.6,0.04,4,5,2.2
NM,AC,Yes,19,2.6,0.041,4,5,3.1
NM,AC,Yes,20,3.1,0.048,3,5,2
NM,AC,Yes,1,4.4,0.141,8,10,5
NM,AC,Yes,2,3,0.153,4,5,4.6
NM,AC,Yes,3,3.7,0.147,4,6,4
NM,AC,Yes,4,3.3,0.098,4,7,3
NM,AC,Yes,5,3.2,0.071,3,6,3.4
NM,AC,Yes,6,2.8,0.05,5,5,2.7
NM,AC,Yes,7,3.3,0.063,3,5,3.6
NM,AC,Yes,8,2.8,0.047,5,6,2.8
NM,AC,Yes,9,2.7,0.109,5,6,3.2
NM,AC,Yes,10,2.2,0.07,5,4,2
NM,AC,Yes,11,2.6,0.044,2,4,2.1
NM,AC,Yes,12,2.2,0.038,4,5,3.1
NM,AC,Yes,13,1.8,0.039,2,7,1.7
NM,AC,Yes,14,1.5,0.029,4,3,4.2
NM,AC,Yes,15,2,0.047,3,4,2.5
NM,AC,Yes,16,3.1,0.034,3,2,2.3
NM,AC,Yes,17,1.5,0.023,3,5,0.5
NM,AC,Yes,18,1.2,0.02,4,3,2
NM,AC,Yes,19,0.5,0.015,3,5,0.7
NM,AC,Yes,20,2.5,0.06,3,5,2.8
S.CD,AC,No,1,6.5,0.413,5,5,6.2
S.CD,AC,No,2,5.8,0.213,5,4,5.3
S.CD,AC,No,3,4.1,0.147,5,4,3.4
S.CD,AC,No,4,3.4,0.092,5,4,4.1
S.CD,AC,No,5,4.2,0.125,6,5,4.4
S.CD,AC,No,6,2.1,0.001,5,4,2.2
S.CD,AC,No,7,3.6,0.066,5,5,3.1
S.CD,AC,No,8,3.1,0.05,7,4,2.1
S.CD,AC,No,9,2.8,0.056,5,4,2.5
S.CD,AC,No,10,2.3,0.038,4,4,1.2
S.CD,AC,No,11,2,0.053,7,4,1.6
S.CD,AC,No,12,1.5,0.033,5,5,1.4
S.CD,AC,No,13,2.8,0.026,3,2,2.5
S.CD,AC,No,14,1.6,0.028,5,4,3
S.CD,AC,No,15,2.5,0.042,7,4,2
S.CD,AC,No,16,2.1,0.018,6,2,0.8
S.CD,AC,No,17,4,0.016,4,1,1
S.CD,AC,No,18,1.5,0.03,6,2,0.7
S.CD,AC,No,19,2,0.024,5,2,3.8
S.CD,AC,No,20,1,0.019,6,3,1.1
S.CD,AC,No,1,2.5,0.035,5,4,1.5
S.CD,AC,No,2,3.6,0.09,5,4,4.2
S.CD,AC,No,3,2.2,0.062,6,5,2.3
S.CD,AC,No,4,2.3,0.026,6,4,1.3
S.CD,AC,No,5,2.2,0.046,6,5,1.3
S.CD,AC,No,6,1.4,0.021,5,3,0.2
S.CD,AC,No,7,1.6,0.02,5,4,1.2
S.CD,AC,No,8,1.7,0.017,3,3,0.6
S.CD,AC,No,9,0.8,0.025,4,3,0.5
S.CD,AC,No,10,1.2,0.014,4,2,1.1
S.CD,AC,No,11,1.5,0.014,3,3,0.7
S.CD,AC,No,12,1.1,0.015,6,1,0.1
S.CD,AC,No,13,0.8,0.013,4,2,0.6
S.CD,AC,No,14,0.6,0.015,5,3,0.2
S.CD,AC,No,15,1.1,0.012,3,2,0.5
S.CD,AC,No,16,1.4,0.01,4,2,0.4
S.CD,AC,No,17,1.5,0.013,4,3,0.4
S.CD,AC,No,18,1.3,0.019,2,3,1.1
S.CD,AC,No,19,1,0.002,6,3,0.7
S.CD,AC,No,20,1.1,0.015,2,3,0.6
S.CD,AC,No,1,1.5,0.02,4,3,0.9
S.CD,AC,No,2,1.5,0.02,4,3,0.9
S.CD,AC,No,3,1.5,0.02,4,3,0.9
S.CD,AC,No,4,1.5,0.02,4,3,0.9
S.CD,AC,No,5,1.5,0.02,4,3,0.9
S.CD,AC,No,6,1.5,0.02,4,3,0.9
S.CD,AC,No,7,1.5,0.02,4,3,0.9
S.CD,AC,No,8,1.5,0.02,4,3,0.9
S.CD,AC,No,9,1.5,0.02,4,3,0.9
S.CD,AC,No,10,1.5,0.02,4,3,0.9
S.CD,AC,No,11,1.5,0.02,4,3,0.9
S.CD,AC,No,12,1.5,0.02,4,3,0.9
S.CD,AC,No,13,1.5,0.02,4,3,0.9
S.CD,AC,No,14,1.5,0.02,4,3,0.9
S.CD,AC,No,15,1.5,0.02,4,3,0.9
S.CD,AC,No,16,1.5,0.02,4,3,0.9
S.CD,AC,No,17,1.5,0.02,4,3,0.9
S.CD,AC,No,18,1.5,0.02,4,3,0.9
S.CD,AC,No,19,1.5,0.02,4,3,0.9
S.CD,AC,No,20,1.5,0.02,4,3,0.9
S.CD,AC,Yes,1,4.6,0.156,7,4,1.8
S.CD,AC,Yes,2,2.4,0.091,6,6,2
S.CD,AC,Yes,3,1.6,0.036,6,2,1.4
S.CD,AC,Yes,4,2.2,0.034,6,2,1.2
S.CD,AC,Yes,5,1.7,0.008,4,0,0
S.CD,AC,Yes,6,1.5,0.016,2,4,1
S.CD,AC,Yes,7,1.3,0.018,5,3,0.2
S.CD,AC,Yes,8,1.1,0.017,4,2,0.3
S.CD,AC,Yes,9,1.4,0.019,4,3,0.3
S.CD,AC,Yes,10,1.2,0.015,4,3,0.3
S.CD,AC,Yes,11,1.4,0.014,2,2,0.2
S.CD,AC,Yes,12,1.2,0.028,6,2,0.3
S.CD,AC,Yes,13,1.3,0.023,3,2,0.2
S.CD,AC,Yes,14,1.1,0.015,4,3,0.5
S.CD,AC,Yes,15,1.5,0.014,3,3,0.3
S.CD,AC,Yes,16,1,0.015,5,3,0.3
S.CD,AC,Yes,17,0.6,0.008,3,2,0.2
S.CD,AC,Yes,18,0.7,0.012,4,1,0.3
S.CD,AC,Yes,19,0.8,0.01,5,0,0
S.CD,AC,Yes,20,0.7,0.008,4,0,0
S.CD,AC,Yes,1,5.4,0.229,7,6,3.6
S.CD,AC,Yes,2,4.6,0.122,5,4,3.5
S.CD,AC,Yes,3,3.7,0.087,4,4,1
S.CD,AC,Yes,4,3,0.06,4,3,2.4
S.CD,AC,Yes,5,3.6,0.089,6,4,3.1
S.CD,AC,Yes,6,3.4,0.08,6,5,3
S.CD,AC,Yes,7,3.2,0.081,5,4,2.4
S.CD,AC,Yes,8,3.3,0.074,5,3,3.5
S.CD,AC,Yes,9,3,0.047,5,4,4.2
S.CD,AC,Yes,10,1.8,0.054,5,5,2.5
S.CD,AC,Yes,11,2,0.051,6,5,1.5
S.CD,AC,Yes,12,1.8,0.042,6,3,1.2
S.CD,AC,Yes,13,1,0.015,7,5,0.5
S.CD,AC,Yes,14,1.1,0.049,5,3,1
S.CD,AC,Yes,15,1,0.014,3,3,0.6
S.CD,AC,Yes,16,0.8,0.02,5,3,1
S.CD,AC,Yes,17,1.5,0.013,3,2,1.4
S.CD,AC,Yes,18,1,0.005,2,0,0
S.CD,AC,Yes,19,1.2,0.004,2,2,0.4
S.CD,AC,Yes,20,1.6,0.005,4,1,0.2
S.CD,AC,Yes,1,2.5,0.154,7,4,1.8
S.CD,AC,Yes,2,3.1,0.07,6,3,2.3
S.CD,AC,Yes,3,2,0.034,6,2,1.5
S.CD,AC,Yes,4,1.3,0.031,5,3,2.1
S.CD,AC,Yes,5,1.8,0.037,5,4,1.4
S.CD,AC,Yes,6,1.5,0.026,4,2,1.1
S.CD,AC,Yes,7,1.5,0.027,6,2,0.7
S.CD,AC,Yes,8,0.5,0.013,5,3,0.4
S.CD,AC,Yes,9,1.2,0.016,4,3,1.1
S.CD,AC,Yes,10,1.4,0.02,5,4,1
S.CD,AC,Yes,11,1,0.024,5,1,2
S.CD,AC,Yes,12,1.7,0.013,4,2,0.3
S.CD,AC,Yes,13,0.7,0.007,3,1,0.1
S.CD,AC,Yes,14,0.8,0.011,5,2,0.3
S.CD,AC,Yes,15,0.7,0.01,3,2,0.4
S.CD,AC,Yes,16,0.8,0.013,6,1,0.3
S.CD,AC,Yes,17,0.6,0.01,6,1,0.6
S.CD,AC,Yes,18,1,0.012,4,1,1
S.CD,AC,Yes,19,0.5,0.011,5,3,0.5
S.CD,AC,Yes,20,0.9,0.013,6,4,1
S.CD.C,AC,No,1,4.5,0.171,6,5,2.6
S.CD.C,AC,No,2,5.4,0.129,6,5,2
S.CD.C,AC,No,3,5.6,0.11,6,7,3.8
S.CD.C,AC,No,4,3.4,0.038,6,3,0.3
S.CD.C,AC,No,5,2.5,0.041,5,5,2.2
S.CD.C,AC,No,6,3.5,0.039,6,3,1.2
S.CD.C,AC,No,7,2.4,0.045,6,6,1.8
S.CD.C,AC,No,8,4.1,0.063,5,5,0.8
S.CD.C,AC,No,9,2.2,0.039,5,5,0.6
S.CD.C,AC,No,10,2.4,0.034,5,2,0.7
S.CD.C,AC,No,11,3,0.035,6,3,1.5
S.CD.C,AC,No,12,4,0.039,6,2,1.5
S.CD.C,AC,No,13,1.7,0.025,6,6,1.8
S.CD.C,AC,No,14,2.4,0.024,5,3,0.7
S.CD.C,AC,No,15,2.1,0.015,4,2,0.5
S.CD.C,AC,No,16,1,0.023,5,2,1
S.CD.C,AC,No,17,1.4,0.017,3,3,0.8
S.CD.C,AC,No,18,1.4,0.023,5,2,1
S.CD.C,AC,No,19,1.4,0.019,4,3,1.2
S.CD.C,AC,No,20,1,0.018,7,2,0.4
S.CD.C,AC,No,1,2.2,0.048,4,4,1.5
S.CD.C,AC,No,2,2.1,0.019,3,2,1.1
S.CD.C,AC,No,3,1.2,0.042,4,3,1.7
S.CD.C,AC,No,4,1.5,0.034,3,4,2
S.CD.C,AC,No,5,1.2,0.018,6,2,0.4
S.CD.C,AC,No,6,1.3,0.013,4,3,0.7
S.CD.C,AC,No,7,0.9,0.039,2,5,2.1
S.CD.C,AC,No,8,1.4,0.015,5,0,0
S.CD.C,AC,No,9,1.8,0.016,4,0,0
S.CD.C,AC,No,10,0.8,0.019,5,3,0.3
S.CD.C,AC,No,11,2.1,0.015,3,2,0.6
S.CD.C,AC,No,12,1.1,0.017,4,3,0.2
S.CD.C,AC,No,13,0.8,0.012,5,2,0.2
S.CD.C,AC,No,14,1.5,0.015,3,4,0.3
S.CD.C,AC,No,15,0.7,0.017,4,3,0.5
S.CD.C,AC,No,16,1.5,0.019,4,3,1.5
S.CD.C,AC,No,17,1.4,0.009,3,4,0.4
S.CD.C,AC,No,18,1.2,0.014,4,2,0.6
S.CD.C,AC,No,19,1,0.011,3,2,0.2
S.CD.C,AC,No,20,1.2,0.015,5,3,0.2
S.CD.C,AC,No,1,0.6,0.013,4,2,0.5
S.CD.C,AC,No,2,0.7,0.018,5,3,0.3
S.CD.C,AC,No,3,0.6,0.005,4,2,0.2
S.CD.C,AC,No,4,0.7,0.04,5,4,0.4
S.CD.C,AC,No,5,1.1,0.026,5,3,0.2
S.CD.C,AC,No,6,1.5,0.018,3,3,0.5
S.CD.C,AC,No,7,0.8,0.01,2,3,2
S.CD.C,AC,No,8,1.3,0.018,2,3,1.2
S.CD.C,AC,No,9,0.8,0.009,3,2,0.6
S.CD.C,AC,No,10,1.1,0.014,3,2,0.3
S.CD.C,AC,No,11,0.9,0.017,3,2,0.6
S.CD.C,AC,No,12,0.9,0.017,3,2,0.6
S.CD.C,AC,No,13,0.9,0.017,3,2,0.6
S.CD.C,AC,No,14,0.9,0.017,3,2,0.6
S.CD.C,AC,No,15,0.9,0.017,3,2,0.6
S.CD.C,AC,No,16,0.9,0.017,3,2,0.6
S.CD.C,AC,No,17,0.9,0.017,3,2,0.6
S.CD.C,AC,No,18,0.9,0.017,3,2,0.6
S.CD.C,AC,No,19,0.9,0.017,3,2,0.6
S.CD.C,AC,No,20,0.9,0.017,3,2,0.6
S.CD.C,AC,Yes,1,4.1,0.21,6,7,5
S.CD.C,AC,Yes,2,3.5,0.176,7,6,2.5
S.CD.C,AC,Yes,3,4.5,0.135,6,4,3
S.CD.C,AC,Yes,4,3.5,0.068,6,6,2.2
S.CD.C,AC,Yes,5,5,0.096,6,6,4.5
S.CD.C,AC,Yes,6,4.1,0.107,8,5,3.1
S.CD.C,AC,Yes,7,3.5,0.08,7,5,0.8
S.CD.C,AC,Yes,8,4.5,0.048,7,5,0.8
S.CD.C,AC,Yes,9,4.5,0.067,5,6,2.5
S.CD.C,AC,Yes,10,3.2,0.073,6,7,2
S.CD.C,AC,Yes,11,2.2,0.038,5,4,2.4
S.CD.C,AC,Yes,12,2.7,0.071,7,6,2.8
S.CD.C,AC,Yes,13,2.2,0.052,8,3,2
S.CD.C,AC,Yes,14,1.7,0.064,5,6,1
S.CD.C,AC,Yes,15,2.5,0.025,5,4,1
S.CD.C,AC,Yes,16,2.7,0.027,6,5,3
S.CD.C,AC,Yes,17,1.2,0.027,5,3,0.6
S.CD.C,AC,Yes,18,2.2,0.027,6,4,0.5
S.CD.C,AC,Yes,19,1.5,0.026,7,3,0.6
S.CD.C,AC,Yes,20,1,0.029,6,4,0.6
S.CD.C,AC,Yes,1,5.5,0.28,6,6,2.6
S.CD.C,AC,Yes,2,6.2,0.402,6,7,6
S.CD.C,AC,Yes,3,5.1,0.163,6,4,2.3
S.CD.C,AC,Yes,4,4.2,0.193,6,5,4
S.CD.C,AC,Yes,5,3.1,0.095,8,7,2.1
S.CD.C,AC,Yes,6,4.1,0.084,7,4,3
S.CD.C,AC,Yes,7,2.8,0.043,7,4,0.9
S.CD.C,AC,Yes,8,2,0.021,6,4,0.9
S.CD.C,AC,Yes,9,1.2,0.027,5,3,0.6
S.CD.C,AC,Yes,10,1.5,0.018,4,3,2.3
S.CD.C,AC,Yes,11,0.5,0.013,4,2,0.2
S.CD.C,AC,Yes,12,1.3,0.019,5,2,0.5
S.CD.C,AC,Yes,13,3.1,0.113,5,4,2.1
S.CD.C,AC,Yes,14,3.1,0.113,5,4,2.1
S.CD.C,AC,Yes,15,3.1,0.113,5,4,2.1
S.CD.C,AC,Yes,16,3.1,0.113,5,4,2.1
S.CD.C,AC,Yes,17,3.1,0.113,5,4,2.1
S.CD.C,AC,Yes,18,3.1,0.113,5,4,2.1
S.CD.C,AC,Yes,19,3.1,0.113,5,4,2.1
S.CD.C,AC,Yes,20,3.1,0.113,5,4,2.1
S.CD.C,AC,Yes,1,4.1,0.108,6,5,2.2
S.CD.C,AC,Yes,2,5,0.154,6,5,2.4
S.CD.C,AC,Yes,3,3.8,0.169,6,6,2.2
S.CD.C,AC,Yes,4,3.7,0.071,7,6,1.5
S.CD.C,AC,Yes,5,2.2,0.058,5,5,2
S.CD.C,AC,Yes,6,2.2,0.044,6,7,1.6
S.CD.C,AC,Yes,7,2.3,0.039,5,5,1
S.CD.C,AC,Yes,8,2.7,0.023,5,3,1
S.CD.C,AC,Yes,9,3.2,0.046,5,6,2
S.CD.C,AC,Yes,10,1.5,0.02,5,4,1.2
S.CD.C,AC,Yes,11,1,0.03,5,3,1
S.CD.C,AC,Yes,12,1.5,0.033,5,6,1.3
S.CD.C,AC,Yes,13,2.2,0.024,5,5,0.8
S.CD.C,AC,Yes,14,1.3,0.017,6,4,1
S.CD.C,AC,Yes,15,1.1,0.013,5,4,1
S.CD.C,AC,Yes,16,0.8,0.02,4,4,1
S.CD.C,AC,Yes,17,1,0.024,5,4,0.7
S.CD.C,AC,Yes,18,1.2,0.016,4,2,0.9
S.CD.C,AC,Yes,19,1,0.006,5,3,0.5
S.CD.C,AC,Yes,20,1,0.021,5,2,0.7
